date,category,supplier,warehouse,order_status,units_sold,inventory_level,transportation_cost,order_accuracy,lead_time,backorder,cost_of_goods_sold,average_inventory,warehouse_capacity,sku,defect_rate,route,transportation_mode,manufacturing_cost,location,revenue_generated,cost,shipping_cost
06-05-2020,Accessories,Supplier C,Warehouse 3,Fulfilled,777,2683,3371.043939,TRUE,23,FALSE,76184.13983,3577.5,9094,SKU93,4.165781795,Route A,Air,35.63365234,Chennai,6139.76,3909.35,156.48
07-05-2020,Furniture,Supplier D,Warehouse 3,Fulfilled,477,4472,6748.64938,TRUE,12,FALSE,24996.34935,3671,6178,SKU85,1.374429,Route B,Road,69.92934552,Chennai,1549.16,1314.47,69.02
08-05-2020,Accessories,Supplier A,Warehouse 1,Pending,606,2870,13437.44978,FALSE,19,FALSE,28876.71182,3891,8399,SKU14,0.100682852,Route B,Sea,5.79143663,Kolkata,1178.12,494.67,83.03
09-05-2020,Clothing,Supplier C,Warehouse 3,Pending,423,4912,3248.554874,TRUE,13,FALSE,79226.47623,4494,5993,SKU86,2.051512931,Route A,Sea,74.60897,Mumbai,1271.39,738.13,71.11
10-05-2020,Accessories,Supplier A,Warehouse 2,Fulfilled,63,4076,11003.60216,TRUE,5,FALSE,8603.620577,3084.5,6145,SKU67,0.131955444,Route C,Rail,7.057876147,Mumbai,3078.84,1680.34,36.27
11-05-2020,Accessories,Supplier D,Warehouse 2,Fulfilled,799,2093,4314.660434,TRUE,15,FALSE,39045.0225,1258.5,5460,SKU10,1.727313928,Route B,Road,96.52735279,Kolkata,2605.67,2154.6,128.77
12-05-2020,Accessories,Supplier B,Warehouse 3,Fulfilled,587,424,7714.175082,TRUE,20,FALSE,43435.24314,1866.5,9462,SKU49,2.825813985,Route A,Road,14.14781544,Delhi,2731.85,1801.89,59.09
13-05-2020,Accessories,Supplier C,Warehouse 1,Pending,358,3309,1812.196511,TRUE,3,FALSE,39042.15652,3242,8444,SKU89,1.907665734,Route B,Sea,46.60387338,Kolkata,2781.71,2121.85,167.05
14-05-2020,Clothing,Supplier D,Warehouse 2,Fulfilled,84,3175,10612.99351,TRUE,18,FALSE,13657.59734,3590,8508,SKU18,2.231939111,Route A,Air,27.10798085,Kolkata,15392.68,7336.98,1032.2
15-05-2020,Electronics,Supplier B,Warehouse 2,Fulfilled,196,4005,9228.729618,TRUE,21,FALSE,22907.49743,2698.5,5616,SKU12,2.161253748,Route B,Air,32.32128621,Kolkata,1204.22,1012.01,59.62
16-05-2020,Electronics,Supplier C,Warehouse 2,Pending,764,1392,3787.64629,TRUE,25,FALSE,107139.6553,3122,6653,SKU3,4.746648621,Route A,Road,35.6247414,Kolkata,1083.29,676.39,53.46
17-05-2020,Clothing,Supplier C,Warehouse 2,Canceled,488,4852,10326.38235,TRUE,29,FALSE,80063.67982,2819.5,5258,SKU86,2.051512931,Route A,Sea,74.60897,Mumbai,801.29,498.53,24.35
18-05-2020,Furniture,Supplier D,Warehouse 2,Fulfilled,810,787,6402.613301,TRUE,16,FALSE,155560.135,2025.5,8473,SKU85,1.374429,Route B,Sea,69.92934552,Chennai,3347.53,2801.55,128.78
19-05-2020,Accessories,Supplier A,Warehouse 2,Pending,160,3264,4210.151842,TRUE,12,FALSE,7001.110343,2871.5,8555,SKU94,1.463607498,Route B,Rail,60.38737861,Delhi,5591.33,3194.49,390.32
20-05-2020,Accessories,Supplier D,Warehouse 2,Fulfilled,163,2479,9340.491388,FALSE,5,FALSE,17772.09256,1543.5,5993,SKU22,2.591275473,Route C,Sea,50.12083961,Kolkata,1613.32,933.93,95.59
21-05-2020,Furniture,Supplier D,Warehouse 2,Canceled,544,608,7117.994876,TRUE,7,FALSE,40525.0421,2171,8109,SKU55,4.548919659,Route B,Air,30.32354526,Delhi,780.43,517.53,34.32
22-05-2020,Clothing,Supplier D,Warehouse 3,Fulfilled,637,3734,1504.915337,TRUE,10,FALSE,73669.383,4001.5,7059,SKU32,1.946036119,Route A,Road,29.69246715,Kolkata,792.76,362.79,25.86
23-05-2020,Accessories,Supplier B,Warehouse 3,Fulfilled,880,4269,14244.01991,TRUE,7,FALSE,93875.84852,3315,8933,SKU20,4.231416574,Route B,Sea,65.68625961,Chennai,3465.43,1886.89,30.42
24-05-2020,Electronics,Supplier B,Warehouse 1,Fulfilled,224,2361,13981.97998,TRUE,24,FALSE,38461.18176,2944.5,6135,SKU57,2.51117483,Route A,Rail,67.77962299,Delhi,3801.89,1851.31,59.79
25-05-2020,Clothing,Supplier B,Warehouse 3,Fulfilled,419,3528,8465.232295,TRUE,11,FALSE,60470.18172,4024.5,6287,SKU22,2.591275473,Route C,Road,50.12083961,Kolkata,3112.42,1389.62,60.62
26-05-2020,Furniture,Supplier A,Warehouse 2,Fulfilled,862,4521,12357.93224,TRUE,18,FALSE,44424.39863,2861,6275,SKU72,3.213329607,Route B,Air,55.7604929,Bangalore,929.35,733.97,30.67
27-05-2020,Clothing,Supplier A,Warehouse 1,Fulfilled,115,1201,6852.61894,TRUE,19,FALSE,7617.784585,2577.5,8045,SKU48,1.698112541,Route B,Sea,23.12636358,Mumbai,2280.53,1517,172.89
28-05-2020,Furniture,Supplier D,Warehouse 1,Fulfilled,899,3954,11277.76989,TRUE,21,TRUE,136368.7976,3328.5,5726,SKU12,2.161253748,Route B,Road,32.32128621,Kolkata,2031.82,1140.67,87.14
29-05-2020,Clothing,Supplier D,Warehouse 3,Fulfilled,416,2703,5512.025565,TRUE,17,FALSE,25875.5298,1610,9326,SKU10,1.727313928,Route B,Sea,96.52735279,Kolkata,2250.01,1313.78,50.88
30-05-2020,Accessories,Supplier B,Warehouse 1,Fulfilled,899,517,1531.105269,TRUE,29,FALSE,122327.7816,1933.5,5179,SKU15,2.264405761,Route B,Sea,97.12128175,Bangalore,4321.81,2567.95,55.89
31-05-2020,Furniture,Supplier A,Warehouse 3,Pending,167,3350,4644.701006,FALSE,24,FALSE,26062.89251,3929.5,8868,SKU29,3.878098937,Route B,Sea,39.29287559,Kolkata,2261.07,1548.65,68.68
01-06-2020,Electronics,Supplier A,Warehouse 1,Fulfilled,197,4509,14603.98678,TRUE,22,FALSE,24967.37181,4374.5,8831,SKU87,3.693737788,Route B,Sea,28.69699682,Chennai,3564.98,2912.75,235.93
02-06-2020,Accessories,Supplier A,Warehouse 1,Pending,586,4240,11623.97542,TRUE,28,TRUE,33931.89301,3948.5,5873,SKU67,0.131955444,Route C,Sea,7.057876147,Mumbai,1934.45,1585.77,65.29
03-06-2020,Accessories,Supplier D,Warehouse 1,Fulfilled,758,3657,11802.50374,TRUE,21,FALSE,70439.51289,2233,5467,SKU90,1.219382224,Route B,Rail,85.67596334,Bangalore,2414.19,1390.99,151.94
04-06-2020,Accessories,Supplier A,Warehouse 2,Fulfilled,318,809,9952.087358,TRUE,17,TRUE,38176.30952,513.5,5931,SKU0,0.226410361,Route B,Air,46.27987924,Mumbai,3399.18,1863.32,221.64
05-06-2020,Clothing,Supplier D,Warehouse 1,Fulfilled,478,218,8105.258326,FALSE,29,FALSE,47059.70534,1170,5090,SKU88,0.722204402,Route A,Road,68.18491906,Mumbai,421.09,253.9,5.61
06-06-2020,Furniture,Supplier A,Warehouse 1,Fulfilled,655,2122,4932.680969,TRUE,6,FALSE,22700.3245,3410,5683,SKU60,2.853090617,Route A,Sea,87.21305782,Mumbai,1313.34,860.99,66.52
07-06-2020,Accessories,Supplier A,Warehouse 1,Fulfilled,536,4698,3412.719112,TRUE,27,FALSE,103533.1724,3420,8494,SKU1,4.854068026,Route B,Rail,33.61676895,Mumbai,1129.61,686.6,86.9
08-06-2020,Electronics,Supplier A,Warehouse 3,Fulfilled,481,2142,6629.187258,TRUE,27,FALSE,44693.74216,1872,9889,SKU80,2.849662199,Route B,Road,76.96122802,Chennai,954.44,664.71,33.56
09-06-2020,Electronics,Supplier B,Warehouse 1,Fulfilled,841,1602,9057.476218,TRUE,29,FALSE,143001.2294,1009.5,6172,SKU43,0.372304768,Route A,Road,26.27736596,Mumbai,1373.14,891.83,12.11
10-06-2020,Electronics,Supplier A,Warehouse 3,Canceled,567,417,10110.39312,TRUE,22,FALSE,36611.98363,1445.5,5025,SKU51,1.772951172,Route A,Road,14.19032834,Bangalore,8062.2,4388.43,598.6
11-06-2020,Furniture,Supplier B,Warehouse 1,Pending,953,2474,8191.151195,TRUE,10,FALSE,145928.6664,2319,5980,SKU41,0.045302262,Route A,Rail,95.33206455,Chennai,760.65,422.6,54.22
12-06-2020,Clothing,Supplier B,Warehouse 2,Pending,971,2164,10255.97538,TRUE,16,FALSE,149515.1934,3472.5,5762,SKU69,1.362387989,Route A,Air,77.62776581,Kolkata,4761.31,2715.69,210.26
13-06-2020,Electronics,Supplier A,Warehouse 3,Fulfilled,372,4781,1327.874027,TRUE,22,FALSE,73748.18724,3131,7201,SKU59,0.447194015,Route A,Sea,1.900762244,Kolkata,336.01,148.71,15.6
14-06-2020,Accessories,Supplier D,Warehouse 3,Fulfilled,298,1481,9278.945037,TRUE,15,FALSE,59564.05699,2219,9362,SKU86,2.051512931,Route A,Air,74.60897,Mumbai,1293.51,614.07,27.01
15-06-2020,Clothing,Supplier A,Warehouse 2,Fulfilled,863,2957,1757.855215,TRUE,19,FALSE,130185.014,3665,8369,SKU25,3.797231217,Route B,Road,78.28038312,Kolkata,2127.61,1543.37,141.4
16-06-2020,Furniture,Supplier A,Warehouse 2,Fulfilled,117,4373,3332.704932,TRUE,12,FALSE,12284.48648,2815.5,9641,SKU99,0.346027291,Route B,Sea,38.07289852,Chennai,3249.39,1868.7,137.76
17-06-2020,Accessories,Supplier C,Warehouse 3,Fulfilled,530,1258,11838.02241,TRUE,3,FALSE,91308.72659,722.5,7226,SKU90,1.219382224,Route B,Sea,85.67596334,Bangalore,3682.06,1828.3,27.77
18-06-2020,Electronics,Supplier D,Warehouse 3,Fulfilled,781,187,13544.20862,TRUE,9,FALSE,106400.8806,2225,9750,SKU54,2.478771976,Route B,Road,30.18602338,Kolkata,3997.19,2610.98,224.75
19-06-2020,Electronics,Supplier B,Warehouse 3,Pending,517,4263,12369.60184,TRUE,1,FALSE,29422.42699,3872.5,9270,SKU72,3.213329607,Route B,Rail,55.7604929,Bangalore,1275.73,944.03,97.32
20-06-2020,Clothing,Supplier D,Warehouse 2,Pending,281,3482,4246.693394,FALSE,7,TRUE,15548.20658,3153.5,9908,SKU8,2.709862691,Route B,Sea,11.42302714,Mumbai,1138.71,587.39,76.51
21-06-2020,Clothing,Supplier D,Warehouse 3,Canceled,186,2825,7383.456343,TRUE,1,FALSE,31065.37835,1664,8797,SKU86,2.051512931,Route A,Rail,74.60897,Mumbai,4264.06,3292.09,109.97
22-06-2020,Accessories,Supplier D,Warehouse 3,Fulfilled,160,503,8041.955293,TRUE,21,FALSE,15654.48396,1976.5,8246,SKU41,0.045302262,Route A,Air,95.33206455,Chennai,1493.23,1220.53,13.44
23-06-2020,Clothing,Supplier B,Warehouse 1,Pending,721,3450,3578.023972,TRUE,24,FALSE,101751.2752,3390,5088,SKU55,4.548919659,Route B,Sea,30.32354526,Delhi,504.88,337.68,38.13
24-06-2020,Furniture,Supplier D,Warehouse 2,Pending,204,3330,14194.72347,TRUE,4,FALSE,8340.158455,2301.5,8804,SKU32,1.946036119,Route A,Rail,29.69246715,Kolkata,582.14,408.1,43.82
25-06-2020,Furniture,Supplier B,Warehouse 2,Fulfilled,105,1273,8485.012126,TRUE,2,FALSE,10800.37368,2069,6647,SKU5,2.779193512,Route A,Air,56.76647556,Bangalore,720.93,305.43,32.39
26-06-2020,Clothing,Supplier B,Warehouse 2,Fulfilled,228,2865,6972.141402,TRUE,20,FALSE,21437.91291,2603,7818,SKU8,2.709862691,Route B,Rail,11.42302714,Mumbai,2972.51,2453.76,158.06
27-06-2020,Electronics,Supplier A,Warehouse 2,Fulfilled,141,2341,13577.68879,TRUE,1,FALSE,16950.79011,2962,7316,SKU11,0.021169821,Route A,Air,27.59236309,Kolkata,2084.79,1202.13,82.76
28-06-2020,Furniture,Supplier C,Warehouse 2,Fulfilled,490,3583,11652.06228,TRUE,27,FALSE,54851.85709,3611,8902,SKU9,3.844614479,Route B,Sea,47.95760163,Chennai,3606.47,2942,131.57
29-06-2020,Accessories,Supplier D,Warehouse 2,Fulfilled,368,3639,922.2948823,TRUE,29,FALSE,57934.37809,2383,6655,SKU64,0.159486315,Route C,Rail,8.693042426,Delhi,1179.38,779.03,16.46
30-06-2020,Clothing,Supplier D,Warehouse 3,Canceled,493,1127,13681.40687,TRUE,21,FALSE,19145.55899,1716,5198,SKU11,0.021169821,Route A,Sea,27.59236309,Kolkata,2118.66,851.87,25.97
01-07-2020,Clothing,Supplier A,Warehouse 1,Fulfilled,364,2305,6159.723799,TRUE,8,FALSE,26091.38895,3104,5034,SKU64,0.159486315,Route C,Road,8.693042426,Delhi,3379.86,1410.57,75.89
02-07-2020,Furniture,Supplier C,Warehouse 2,Fulfilled,707,3903,7501.738745,FALSE,17,FALSE,71317.38617,3219.5,7941,SKU12,2.161253748,Route B,Rail,32.32128621,Kolkata,1326.97,937.09,89.9
03-07-2020,Furniture,Supplier C,Warehouse 2,Fulfilled,845,2536,9435.489415,TRUE,8,FALSE,32790.34114,3662.5,8321,SKU51,1.772951172,Route A,Rail,14.19032834,Bangalore,2854.85,1864.79,45.5
04-07-2020,Furniture,Supplier D,Warehouse 3,Fulfilled,895,4789,10579.23733,FALSE,29,FALSE,156015.5124,3741.5,5059,SKU39,1.451972204,Route B,Road,9.005807429,Kolkata,932.69,384.21,20.52
05-07-2020,Electronics,Supplier A,Warehouse 3,Fulfilled,604,2694,3069.618325,TRUE,20,FALSE,65705.43288,2036,5434,SKU99,0.346027291,Route B,Rail,38.07289852,Chennai,1257.58,923.77,58.03
06-07-2020,Clothing,Supplier C,Warehouse 1,Canceled,190,1378,5665.623472,TRUE,4,FALSE,28148.79219,1760,5565,SKU37,2.610288085,Route A,Rail,34.34327747,Kolkata,1234.3,967.03,26.09
07-07-2020,Electronics,Supplier A,Warehouse 1,Fulfilled,239,2142,4123.370293,TRUE,12,FALSE,46901.02802,2341,9302,SKU7,0.398177187,Route C,Rail,99.4661086,Bangalore,546.84,340.89,9.43
08-07-2020,Furniture,Supplier D,Warehouse 2,Fulfilled,579,2540,4661.308592,TRUE,26,FALSE,81933.35898,2032.5,6389,SKU92,0.333431825,Route B,Rail,62.6126904,Mumbai,2942.38,1793.65,139.02
09-07-2020,Electronics,Supplier D,Warehouse 1,Canceled,74,1525,10925.78193,TRUE,14,FALSE,10497.63474,1707,9605,SKU16,1.012563089,Route A,Air,77.1063425,Bangalore,1130.71,455.07,36.87
10-07-2020,Furniture,Supplier A,Warehouse 1,Pending,476,1889,5425.542968,TRUE,9,FALSE,20858.08205,1745.5,5604,SKU15,2.264405761,Route B,Road,97.12128175,Bangalore,1830.77,1380.39,95.13
11-07-2020,Accessories,Supplier A,Warehouse 2,Fulfilled,183,1602,6845.871389,TRUE,5,FALSE,6860.604624,2285.5,9046,SKU37,2.610288085,Route A,Road,34.34327747,Kolkata,2924.11,1604.82,214.67
12-07-2020,Clothing,Supplier B,Warehouse 3,Fulfilled,220,2969,7776.395445,TRUE,8,FALSE,26181.53414,2338,8825,SKU99,0.346027291,Route B,Road,38.07289852,Chennai,2825.76,2247.73,46.13
13-07-2020,Furniture,Supplier A,Warehouse 3,Fulfilled,840,1707,13170.02301,TRUE,7,TRUE,95831.82641,2141,7963,SKU72,3.213329607,Route B,Sea,55.7604929,Bangalore,3517.08,1997.27,258.53
14-07-2020,Furniture,Supplier A,Warehouse 3,Fulfilled,938,2575,13732.69051,TRUE,5,FALSE,153675.5561,1831.5,5828,SKU46,3.648610593,Route B,Road,77.32235321,Chennai,1638.46,1072.02,119.09
15-07-2020,Accessories,Supplier A,Warehouse 2,Fulfilled,469,1088,10100.62147,TRUE,12,FALSE,43290.7178,933,7259,SKU76,2.180037452,Route A,Road,64.3235978,Bangalore,1184.06,617.67,79.55
16-07-2020,Clothing,Supplier B,Warehouse 3,Fulfilled,986,778,7794.13434,FALSE,27,FALSE,26539.78359,1390.5,8071,SKU57,2.51117483,Route A,Rail,67.77962299,Delhi,1669.5,788.45,87.39
17-07-2020,Electronics,Supplier B,Warehouse 2,Canceled,895,2003,13920.95363,TRUE,13,FALSE,142263.4704,2521,9379,SKU77,3.055141818,Route B,Air,42.95244475,Kolkata,334.51,250.45,17.23
18-07-2020,Electronics,Supplier A,Warehouse 2,Fulfilled,417,3039,5955.325986,TRUE,4,FALSE,38229.63991,3668.5,9899,SKU35,0.541154098,Route C,Air,58.00478704,Delhi,425.34,265.18,22.52
19-07-2020,Electronics,Supplier A,Warehouse 2,Pending,543,4298,1370.118793,TRUE,15,FALSE,66273.28811,3124,9304,SKU31,2.989000007,Route C,Air,60.25114566,Chennai,481.69,308.97,27.35
20-07-2020,Furniture,Supplier A,Warehouse 2,Pending,715,1950,12471.24966,TRUE,24,FALSE,19932.66453,1560,9654,SKU59,0.447194015,Route A,Rail,1.900762244,Kolkata,666.98,556.55,4.16
21-07-2020,Electronics,Supplier A,Warehouse 1,Fulfilled,749,1170,14634.16273,TRUE,9,FALSE,122385.261,1407.5,5652,SKU29,3.878098937,Route B,Road,39.29287559,Kolkata,2696.67,2247.98,207.26
22-07-2020,Electronics,Supplier C,Warehouse 3,Canceled,514,1645,9733.911232,FALSE,28,FALSE,61069.01511,2112.5,9765,SKU85,1.374429,Route B,Air,69.92934552,Chennai,731.08,573.93,35.76
23-07-2020,Accessories,Supplier D,Warehouse 3,Fulfilled,394,2580,2956.62483,TRUE,13,FALSE,76081.40748,2726,8838,SKU82,4.137877049,Route C,Air,4.465278435,Mumbai,1238.72,600.07,78.8
24-07-2020,Furniture,Supplier B,Warehouse 2,Fulfilled,61,2872,7059.119058,TRUE,13,FALSE,1877.423401,3182,9359,SKU30,0.965394705,Route C,Sea,51.6348934,Kolkata,6629.13,4424.43,220.72
25-07-2020,Furniture,Supplier C,Warehouse 3,Pending,355,3492,8471.585993,TRUE,22,FALSE,19857.54822,2345.5,5230,SKU57,2.51117483,Route A,Air,67.77962299,Delhi,1266.15,1006.8,7.51
26-07-2020,Electronics,Supplier B,Warehouse 1,Pending,418,1199,11338.93807,TRUE,29,FALSE,81285.66331,2070.5,5314,SKU46,3.648610593,Route B,Sea,77.32235321,Chennai,3780.14,2149.04,163.42
31-12-2021,Accessories,Supplier A,Warehouse 3,Canceled,761,2942,5446.665224,TRUE,15,FALSE,29801.19072,2395.5,7334,SKU29,3.878098937,Route B,Road,39.29287559,Kolkata,710.79,316.66,30.59
01-01-2022,Accessories,Supplier C,Warehouse 1,Pending,671,1849,10012.01964,TRUE,7,FALSE,35673.65153,1183.5,5453,SKU94,1.463607498,Route B,Road,60.38737861,Delhi,1472.27,1126.19,55.61
02-01-2022,Accessories,Supplier B,Warehouse 1,Fulfilled,257,518,2191.992239,TRUE,21,FALSE,21007.89594,1331,8165,SKU42,4.939255289,Route A,Air,96.42282064,Bangalore,699.23,431.28,21.31
03-01-2022,Furniture,Supplier B,Warehouse 1,Fulfilled,540,2144,12371.82875,TRUE,26,FALSE,60100.22265,1581.5,6730,SKU45,3.219604612,Route A,Air,66.31254444,Chennai,1288.16,842.42,30.58
04-01-2022,Accessories,Supplier A,Warehouse 1,Fulfilled,315,1019,3254.02511,FALSE,1,FALSE,43448.26052,1533,7140,SKU18,2.231939111,Route A,Sea,27.10798085,Kolkata,4189.38,3527.31,186.7
05-01-2022,Clothing,Supplier C,Warehouse 3,Fulfilled,50,2047,10308.84608,TRUE,22,FALSE,8349.584537,2741.5,5329,SKU67,0.131955444,Route C,Air,7.057876147,Mumbai,321.4,216.38,10.65
06-01-2022,Electronics,Supplier B,Warehouse 1,Canceled,477,3436,6348.782423,FALSE,26,FALSE,18706.09854,2917.5,8781,SKU12,2.161253748,Route B,Rail,32.32128621,Kolkata,2791.75,1650.6,217.04
07-01-2022,Electronics,Supplier B,Warehouse 1,Fulfilled,162,2399,9314.010949,TRUE,29,FALSE,15137.03166,1905,6743,SKU26,2.119319737,Route A,Sea,15.97222976,Bangalore,2293.27,1299.12,41.21
08-01-2022,Electronics,Supplier C,Warehouse 1,Canceled,457,1411,9107.904484,TRUE,27,FALSE,20222.10381,2458.5,5659,SKU90,1.219382224,Route B,Sea,85.67596334,Bangalore,998.1,586.81,28.92
09-01-2022,Furniture,Supplier B,Warehouse 1,Fulfilled,839,3506,13280.44982,TRUE,8,FALSE,117430.329,4171,7261,SKU72,3.213329607,Route B,Sea,55.7604929,Bangalore,425.79,193,11.52
10-01-2022,Accessories,Supplier A,Warehouse 3,Fulfilled,474,4836,4606.676715,TRUE,13,FALSE,71082.84395,2572,5851,SKU30,0.965394705,Route C,Air,51.6348934,Kolkata,1943.27,1472.3,88.9
11-01-2022,Clothing,Supplier B,Warehouse 3,Fulfilled,275,308,523.2172195,TRUE,20,FALSE,41251.30462,2045,7363,SKU36,3.805533379,Route C,Air,45.53136424,Delhi,1064.76,827.29,45.19
12-01-2022,Accessories,Supplier A,Warehouse 2,Pending,663,3782,8532.564273,FALSE,12,FALSE,31865.2544,3834,5107,SKU51,1.772951172,Route A,Rail,14.19032834,Bangalore,2281.7,1204.69,121.57
13-01-2022,Accessories,Supplier A,Warehouse 3,Fulfilled,888,3886,4635.570297,TRUE,16,FALSE,119331.4756,2164.5,5585,SKU15,2.264405761,Route B,Road,97.12128175,Bangalore,1847.99,991.83,140.91
14-01-2022,Furniture,Supplier C,Warehouse 1,Pending,64,443,875.4930186,TRUE,18,FALSE,12210.9115,2718,7072,SKU0,0.226410361,Route B,Air,46.27987924,Mumbai,8971.24,7118.23,236.77
15-01-2022,Clothing,Supplier B,Warehouse 2,Fulfilled,376,4993,4251.22352,TRUE,12,FALSE,24751.95941,2810.5,9244,SKU94,1.463607498,Route B,Sea,60.38737861,Delhi,1423.17,584.62,81.06
16-01-2022,Furniture,Supplier B,Warehouse 2,Fulfilled,382,628,4771.748328,TRUE,1,FALSE,25252.93486,753.5,6211,SKU79,0.165871627,Route C,Sea,57.87090292,Bangalore,649.69,412.04,4.47
17-01-2022,Electronics,Supplier D,Warehouse 3,Fulfilled,383,879,7513.85057,TRUE,23,FALSE,32229.00476,850.5,9069,SKU69,1.362387989,Route A,Air,77.62776581,Kolkata,2163.05,1316.55,53.38
18-01-2022,Clothing,Supplier C,Warehouse 3,Canceled,877,822,5100.690265,TRUE,6,FALSE,68251.08497,1441.5,8675,SKU11,0.021169821,Route A,Road,27.59236309,Kolkata,2252.95,1600.85,89.62
